position,p_order,cost,player
SP,0,5,Greg Maddux
SP,0,4,Randy Johnson
SP,0,3,Roger Clemens
SP,0,2,Pedro Martinez
SP,0,1,Clayton Kershaw
RP,1,5,Mariano Rivera
RP,1,4,Trevor Hoffman
RP,1,3,Billy Wagner
RP,1,2,Kenley Jansen
RP,1,1,Craig Kimbrel
C,2,5,Ivan Rodriguez
C,2,4,Mike Piazza
C,2,3,Buster Posey
C,2,2,Joe Mauer
C,2,1,Jorge Posada
1B,3,5,Albert Pujols
1B,3,4,Miguel Cabrera
1B,3,3,Jeff Bagwell
1B,3,2,Jim Thome
1B,3,1,Mark McGwire
2B,4,5,Roberto Alomar
2B,4,4,Craig Biggio
2B,4,3,Chase Utley
2B,4,2,Robinson Cano
2B,4,1,Jeff Kent
3B,5,5,Chipper Jones
3B,5,4,Adrian Beltre
3B,5,3,Wade Boggs
3B,5,2,Nolan Arenado
3B,5,1,Scott Rolen
SS,6,5,Alex Rodriguez
SS,6,4,Cal Ripken Jr.
SS,6,3,Derek Jeter
SS,6,2,Barry Larkin
SS,6,1,Ozzie Smith
LF,7,5,Barry Bonds
LF,7,4,Rickey Henderson
LF,7,3,Manny Ramirez
LF,7,2,Lance Berkman
LF,7,1,Albert Belle
CF,8,5,Mike Trout
CF,8,4,Ken Griffey Jr.
CF,8,3,Carlos Beltran
CF,8,2,Andruw Jones
CF,8,1,Jim Edmonds
RF,9,5,Ichiro Suzuki
RF,9,4,Vladimir Guerrero
RF,9,3,Mookie Betts
RF,9,2,Larry Walker
RF,9,1,Gary Sheffield
DH,10,5,David Ortiz
DH,10,4,Frank Thomas
DH,10,3,Edgar Martinez
DH,10,2,Paul Molitor
DH,10,1,Harold Baines